Date,Traffic_Volume
05-08-2024,23846
06-08-2024,23403
07-08-2024,24183
08-08-2024,27463
09-08-2024,21122
10-08-2024,14885
11-08-2024,11370
12-08-2024,23016
13-08-2024,25293
14-08-2024,23692
15-08-2024,21916
16-08-2024,22399
17-08-2024,14431
18-08-2024,12256
19-08-2024,23618
20-08-2024,23305
21-08-2024,22203
22-08-2024,26341
23-08-2024,24022
24-08-2024,9981
25-08-2024,13247
26-08-2024,21924
27-08-2024,24146
28-08-2024,21631
29-08-2024,22601
30-08-2024,23485
31-08-2024,13982
01-09-2024,10841
02-09-2024,22098
03-09-2024,21847
04-09-2024,21540
05-09-2024,25131
06-09-2024,23054
07-09-2024,10520
08-09-2024,13755
09-09-2024,25529
10-09-2024,23864
11-09-2024,20007
12-09-2024,21531
13-09-2024,24131
14-09-2024,11144
15-09-2024,12848
16-09-2024,23322
17-09-2024,20749
18-09-2024,22030
19-09-2024,17240
20-09-2024,20548
21-09-2024,11691
22-09-2024,10184
23-09-2024,24493
24-09-2024,19888
25-09-2024,21364
26-09-2024,22212
27-09-2024,24172
28-09-2024,9851
29-09-2024,13747
30-09-2024,22015
01-10-2024,20527
02-10-2024,22694
03-10-2024,22302
04-10-2024,21107
05-10-2024,12118
06-10-2024,11442
07-10-2024,22199
08-10-2024,23032
09-10-2024,24429
10-10-2024,20206
11-10-2024,25277
12-10-2024,9165
13-10-2024,11883
14-10-2024,23011
15-10-2024,22571
16-10-2024,21237
17-10-2024,21882
18-10-2024,21479
19-10-2024,11360
20-10-2024,13546
21-10-2024,22836
22-10-2024,21291
23-10-2024,23711
24-10-2024,22856
25-10-2024,23648
26-10-2024,13409
27-10-2024,11258
28-10-2024,21699
29-10-2024,23700
30-10-2024,23536
31-10-2024,22631
01-11-2024,22882
02-11-2024,14667
03-11-2024,11909
04-11-2024,23664
05-11-2024,22589
06-11-2024,22615
07-11-2024,24641
08-11-2024,24283
09-11-2024,14318
10-11-2024,15111
11-11-2024,23239
12-11-2024,24288
13-11-2024,22857
14-11-2024,23868
15-11-2024,23246
16-11-2024,13648
17-11-2024,14457
18-11-2024,22400
19-11-2024,26830
20-11-2024,22247
21-11-2024,22001
22-11-2024,25626
23-11-2024,15145
24-11-2024,14962
25-11-2024,25038
26-11-2024,24148
27-11-2024,22891
28-11-2024,24423
29-11-2024,23367
30-11-2024,15919
01-12-2024,14310
02-12-2024,23368
03-12-2024,24200
04-12-2024,25378
05-12-2024,23990
06-12-2024,23680
07-12-2024,15358
08-12-2024,15439
09-12-2024,24390
10-12-2024,24525
11-12-2024,25660
12-12-2024,23221
13-12-2024,23364
14-12-2024,14479
15-12-2024,15320
16-12-2024,26189
17-12-2024,28019
18-12-2024,27176
19-12-2024,25734
20-12-2024,26030
21-12-2024,14639
22-12-2024,16200
23-12-2024,25880
24-12-2024,26883
25-12-2024,25243
26-12-2024,27349
27-12-2024,28955
28-12-2024,16578
29-12-2024,17430
30-12-2024,27949
31-12-2024,26398
