date,vehicle_volume
2026-04-21,4342
2026-04-22,1455
2026-04-23,4533
2026-04-24,4798
2026-04-25,2275
2026-04-26,2016
2026-04-27,4773
2026-04-28,3343
2026-04-29,4796
2026-04-30,3767
2026-05-01,4820
2026-05-02,1337
2026-05-03,1878
2026-05-04,2076
2026-05-05,1791
2026-05-06,4993
2026-05-07,3264
2026-05-08,1763
2026-05-09,3235
2026-05-10,1379
2026-05-11,1492
2026-05-12,4112
2026-05-13,2180
2026-05-14,3062
2026-05-15,4884
2026-05-16,1064
2026-05-17,4928
2026-05-18,4910
2026-05-19,3568
2026-05-20,2367
2026-05-21,2152
2026-05-22,3027
2026-05-23,3695
2026-05-24,2495
2026-05-25,4134
2026-05-26,2162
2026-05-27,2522
2026-05-28,3640
2026-05-29,1391
2026-05-30,2698
2026-05-31,1418
2026-06-01,3336
2026-06-02,1378
2026-06-03,2796
2026-06-04,4561
2026-06-05,3278
2026-06-06,4065
2026-06-07,3088
2026-06-08,4099
2026-06-09,3182
2026-06-10,1200
2026-06-11,2863
2026-06-12,1779
2026-06-13,3977
2026-06-14,4104
2026-06-15,4119
2026-06-16,1502
2026-06-17,3454
2026-06-18,4645
2026-06-19,2751
2026-06-20,1804
2026-06-21,3146
2026-06-22,3731
2026-06-23,2895
2026-06-24,3773
2026-06-25,2570
2026-06-26,1960
2026-06-27,4810
2026-06-28,3660
2026-06-29,2485
2026-06-30,3690
2026-07-01,4840
2026-07-02,2028
2026-07-03,4289
2026-07-04,1502
2026-07-05,3814
2026-07-06,1397
2026-07-07,1870
2026-07-08,3842
2026-07-09,1392
2026-07-10,1206
2026-07-11,2038
2026-07-12,2881
2026-07-13,4625
2026-07-14,3939
2026-07-15,2484
2026-07-16,4762
2026-07-17,4646
2026-07-18,1863
2026-07-19,3790
2026-07-20,4312
2026-07-21,1563
2026-07-22,2020
2026-07-23,1095
2026-07-24,2923
2026-07-25,2757
2026-07-26,3532
2026-07-27,4478
2026-07-28,3278
2026-07-29,3796
2026-07-30,2678
2026-07-31,4242
2026-08-01,1540
2026-08-02,2059
2026-08-03,3572
2026-08-04,2183
2026-08-05,4910
2026-08-06,2722
2026-08-07,4314
2026-08-08,4157
2026-08-09,2819
2026-08-10,3625
2026-08-11,3729
2026-08-12,3604
2026-08-13,2597
2026-08-14,4060
2026-08-15,3693
2026-08-16,1795
2026-08-17,2051
2026-08-18,2643
2026-08-19,4627
2026-08-20,2363
2026-08-21,4869
2026-08-22,2981
2026-08-23,2354
2026-08-24,2663
2026-08-25,2529
2026-08-26,3038
2026-08-27,4419
2026-08-28,2496
2026-08-29,4302
2026-08-30,3237
2026-08-31,4296
2026-09-01,2408
2026-09-02,2400
2026-09-03,2306
2026-09-04,3680
2026-09-05,3675
2026-09-06,1972
2026-09-07,2768
2026-09-08,2282
2026-09-09,4430
2026-09-10,1709
2026-09-11,2479
2026-09-12,2434
2026-09-13,1648
2026-09-14,1317
2026-09-15,4748
2026-09-16,4296
2026-09-17,4890
2026-09-18,2257
2026-09-19,1683
2026-09-20,1663
2026-09-21,2998
2026-09-22,4898
2026-09-23,4445
2026-09-24,4743
2026-09-25,2631
2026-09-26,2495
2026-09-27,4304
2026-09-28,4763
2026-09-29,2136
2026-09-30,2853
2026-10-01,2520
2026-10-02,3489
2026-10-03,1563
2026-10-04,2291
2026-10-05,4581
2026-10-06,4878
2026-10-07,4457
2026-10-08,4458
2026-10-09,4184
2026-10-10,2636
2026-10-11,4696
2026-10-12,3999
2026-10-13,4152
2026-10-14,1698
2026-10-15,3160
2026-10-16,1001
2026-10-17,1641
2026-10-18,3267
2026-10-19,2589
2026-10-20,1854
2026-10-21,2759
2026-10-22,4296
2026-10-23,3432
2026-10-24,4474
2026-10-25,2661
2026-10-26,2153
2026-10-27,2076
2026-10-28,2707
2026-10-29,3777
2026-10-30,2695
2026-10-31,2733
2026-11-01,2439
2026-11-02,3294
2026-11-03,1835
2026-11-04,4510
2026-11-05,1202
2026-11-06,4255
2026-11-07,1122
2026-11-08,1400
2026-11-09,1766
2026-11-10,1293
2026-11-11,3327
2026-11-12,4908
2026-11-13,3931
2026-11-14,4681
2026-11-15,1197
2026-11-16,4029
2026-11-17,2930
2026-11-18,4582
2026-11-19,3799
2026-11-20,3191
2026-11-21,1608
2026-11-22,4272
2026-11-23,2147
2026-11-24,1186
2026-11-25,4397
2026-11-26,3511
2026-11-27,4420
2026-11-28,2794
2026-11-29,1659
2026-11-30,3811
2026-12-01,4002
2026-12-02,2955
2026-12-03,3450
2026-12-04,2369
2026-12-05,2986
2026-12-06,2534
2026-12-07,1146
2026-12-08,4219
2026-12-09,3911
2026-12-10,2734
2026-12-11,2843
2026-12-12,1488
2026-12-13,3976
2026-12-14,2959
2026-12-15,2663
2026-12-16,3598
2026-12-17,3385
2026-12-18,3919
2026-12-19,1640
2026-12-20,2802
2026-12-21,3520
2026-12-22,2969
2026-12-23,3198
2026-12-24,2438
2026-12-25,4369
2026-12-26,2634
2026-12-27,1262
2026-12-28,2787
2026-12-29,3191
2026-12-30,3393
2026-12-31,1623
